tipo_celular,module_size,CCDC146_MM,CCDC146_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.287,88.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506.0,0.09,8.0,225,3,1.33,1.23 (0.56-1.90),222,98.67,3.65 (3.41-3.90)
astrocytes 5,499.0,0.209,77.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.062,9.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,823.0,0.303,96.0,23,1,4.35,NA,22,95.65,2.40 (1.67-3.12)
GLU like neurons 17,685.0,0.132,50.0,135,3,2.22,1.23 (0.56-1.90),132,97.78,3.24 (2.93-3.55)
da like neurons 11,109.0,0.303,77.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.142,61.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,228.0,0.453,97.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,3052.0,0.168,74.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67)
astrocytes 8,283.0,0.23,89.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.484,89.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.131,65.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.261,37.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,1401.0,0.105,67.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,85.0,0.258,74.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.258,45.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,752.0,0.147,40.0,96,3,3.12,1.57 (1.57-1.57),93,96.88,3.34 (3.00-3.67)
oligodendrocytes 0,1186.0,0.099,4.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,1615.0,0.131,78.0,161,5,3.11,0.71 (0.10-1.32),156,96.89,3.37 (3.11-3.64)
oligodendrocytes 3,854.0,0.088,47.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,407.0,0.126,18.0,122,7,5.74,0.95 (0.43-1.48),115,94.26,3.52 (3.13-3.91)
