tipo_celular,module_size,TMTC2_MM,TMTC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.392,88.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.497,92.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,322.0,0.174,51.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,229.0,0.537,99.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,203.0,0.063,2.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,637.0,0.581,98.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,408.0,0.594,94.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.523,89.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.376,65.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.227,59.0,306,6,1.96,2.08 (1.14-3.02),300,98.04,5.18 (4.92-5.44)
astrocytes 8,771.0,0.501,93.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.702,100.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.593,95.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.657,91.0,117,1,0.85,1.29 (NA-NA),116,99.15,5.42 (5.03-5.81)
astrocytes 15,458.0,0.17,79.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199.0,0.105,4.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.377,88.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,102.0,0.133,14.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,479.0,0.063,1.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127.0,0.437,89.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,681.0,0.152,87.0,87,10,11.49,1.10 (0.77-1.44),77,88.51,2.79 (2.52-3.07)
oligodendrocytes 2,348.0,0.204,53.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
