tipo_celular,module_size,RBM8A_MM,RBM8A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.173,46.0,225,10,4.44,1.81 (1.18-2.43),215,95.56,3.72 (3.46-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.352,79.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,938.0,0.198,80.0,169,7,4.14,1.91 (1.00-2.81),162,95.86,3.56 (3.35-3.78)
GABA like neurons 14,2402.0,0.248,55.0,455,44,9.67,2.41 (1.93-2.89),411,90.33,4.63 (4.45-4.81)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.097,41.0,129,1,0.78,7.59 (NA-NA),128,99.22,3.39 (3.00-3.77)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.286,87.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02)
da neurons 6,729.0,0.108,27.0,182,6,3.3,1.83 (1.33-2.34),176,96.7,3.71 (3.46-3.97)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.093,8.0,252,24,9.52,1.59 (1.15-2.04),228,90.48,4.44 (4.20-4.67)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.081,21.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.148,14.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
