tipo_celular,module_size,RGS22_MM,RGS22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.211,78.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.146,66.0,353,17,4.82,1.63 (1.05-2.20),336,95.18,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.151,74.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.051,23.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.252,30.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,268.0,0.134,65.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.263,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.155,56.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
