tipo_celular,module_size,AREL1_MM,AREL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.176,53.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,282.0,0.087,4.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.12,58.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,36,10.2,2.78 (2.28-3.28),317,89.8,4.03 (3.83-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.179,61.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,685.0,0.1,29.0,135,20,14.81,2.95 (2.21-3.70),115,85.19,3.24 (2.90-3.58)
da like neurons 11,142.0,0.075,8.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.045,12.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.162,29.0,455,19,4.18,2.86 (2.12-3.59),436,95.82,4.43 (4.24-4.62)
astrocytes 8,603.0,0.058,32.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,30,10.87,2.87 (2.30-3.44),246,89.13,3.63 (3.40-3.86)
oligodendrocytes 10,2107.0,0.111,34.0,358,39,10.89,2.61 (2.12-3.10),319,89.11,4.04 (3.84-4.24)
connective tissue cells 21,126.0,0.35,86.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,1401.0,0.105,67.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,104.0,0.242,71.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.393,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.155,70.0,104,17,16.35,2.34 (1.76-2.92),87,83.65,2.97 (2.66-3.29)
oligodendrocytes 0,309.0,0.105,20.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,958.0,0.118,60.0,290,13,4.48,2.39 (1.79-2.99),277,95.52,3.89 (3.66-4.13)
oligodendrocytes 3,1003.0,0.068,18.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
