tipo_celular,module_size,CCDC93_MM,CCDC93_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.202,84.0,71,2,2.82,1.37 (-0.92-3.66),69,97.18,2.66 (2.25-3.08)
T cells 18,610.0,0.162,59.0,98,13,13.27,1.90 (1.01-2.80),85,86.73,3.33 (3.01-3.64)
astrocytes 5,1141.0,0.116,29.0,166,5,3.01,1.54 (-0.63-3.71),161,96.99,3.45 (3.20-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,17,4.82,2.39 (1.36-3.43),336,95.18,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.201,74.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.129,22.0,39,3,7.69,3.29 (1.68-4.90),36,92.31,2.94 (2.35-3.53)
da like neurons 11,120.0,0.256,55.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.106,32.0,297,2,0.67,4.85 (NA-NA),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,938.0,0.106,40.0,169,5,2.96,2.22 (0.56-3.88),164,97.04,3.53 (3.31-3.74)
GABA like neurons 14,3052.0,0.177,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.051,19.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.082,55.0,276,10,3.62,2.66 (1.87-3.44),266,96.38,3.59 (3.36-3.81)
oligodendrocytes 10,2107.0,0.184,64.0,358,16,4.47,2.13 (1.12-3.15),342,95.53,3.96 (3.77-4.15)
connective tissue cells 21,145.0,0.31,60.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.18,69.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,90.0,0.189,48.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.237,13.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,721.0,0.148,45.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.114,49.0,238,6,2.52,2.87 (1.51-4.23),232,97.48,3.66 (3.44-3.88)
microglia 1,958.0,0.141,84.0,290,4,1.38,2.91 (1.60-4.22),286,98.62,3.83 (3.60-4.06)
oligodendrocytes 3,94.0,0.072,36.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
