tipo_celular,module_size,P2RX7_MM,P2RX7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.139,35.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.151,91.0,80,15,18.75,5.73 (4.59-6.86),65,81.25,3.39 (3.00-3.78)
oligodendrocyte progenitor cells 7,448.0,0.154,60.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.189,47.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.101,14.0,74,4,5.41,2.16 (1.42-2.90),70,94.59,2.99 (2.60-3.39)
astrocytes 8,771.0,0.195,66.0,48,4,8.33,4.95 (2.23-7.67),44,91.67,4.37 (3.58-5.16)
oligodendrocyte progenitor cells 12,138.0,0.387,12.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA
oligodendrocytes 10,130.0,0.383,46.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.162,57.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,90.0,0.122,4.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.302,79.0,57,7,12.28,2.69 (2.18-3.20),50,87.72,2.65 (2.24-3.05)
astrocytes 4,201.0,0.195,68.0,18,9,50.0,3.25 (2.78-3.73),9,50.0,5.82 (4.67-6.97)
oligodendrocytes 0,613.0,0.156,63.0,127,11,8.66,2.13 (1.74-2.52),116,91.34,3.20 (2.73-3.66)
microglia 1,1615.0,0.117,62.0,161,31,19.25,2.02 (1.65-2.40),130,80.75,3.66 (3.36-3.95)
oligodendrocytes 3,681.0,0.139,82.0,87,22,25.29,2.01 (1.62-2.40),65,74.71,2.80 (2.47-3.13)
oligodendrocytes 2,407.0,0.229,95.0,122,54,44.26,3.28 (2.58-3.99),68,55.74,3.37 (2.93-3.80)
