tipo_celular,module_size,GGT7_MM,GGT7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.13,29.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.103,30.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,10,2.83,1.74 (1.04-2.44),343,97.17,3.97 (3.79-4.16)
GABA neurons expressing GLU receptors 22,848.0,0.222,54.0,262,4,1.53,0.72 (0.27-1.17),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,1316.0,0.174,86.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.164,70.0,133,6,4.51,1.51 (0.59-2.42),127,95.49,3.35 (3.04-3.67)
GABA neurons expressing GABA receptors 13,357.0,0.102,15.0,237,5,2.11,4.08 (3.22-4.95),232,97.89,4.42 (4.18-4.66)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.352,95.0,18,3,16.67,1.43 (0.35-2.51),15,83.33,1.97 (1.18-2.76)
GABA like neurons 14,2090.0,0.178,66.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.022,1.0,66,2,3.03,1.71 (-1.24-4.67),64,96.97,3.28 (2.86-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,9,3.26,1.73 (1.02-2.43),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,806.0,0.053,9.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,116.0,0.33,73.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,261.0,0.171,62.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,91.0,0.23,59.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.099,37.0,122,5,4.1,1.86 (0.81-2.91),117,95.9,4.11 (3.71-4.51)
astrocytes microglia 23,122.0,0.298,50.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.146,54.0,104,9,8.65,1.65 (0.89-2.41),95,91.35,2.99 (2.70-3.28)
oligodendrocytes 0,2078.0,0.095,14.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,958.0,0.09,18.0,290,6,2.07,1.99 (1.24-2.73),284,97.93,3.86 (3.63-4.09)
oligodendrocytes 3,681.0,0.059,15.0,87,7,8.05,1.64 (0.88-2.39),80,91.95,2.67 (2.39-2.95)
oligodendrocytes 2,1630.0,0.141,47.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
