tipo_celular,module_size,CYP27A1_MM,CYP27A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.207,78.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.093,9.0,166,10,6.02,1.58 (0.91-2.25),156,93.98,3.53 (3.28-3.78)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,19,5.38,1.36 (0.91-1.81),334,94.62,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,567.0,0.241,69.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,685.0,0.107,33.0,135,6,4.44,1.37 (0.56-2.17),129,95.56,3.29 (2.98-3.60)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.144,27.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,250.0,0.172,47.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.045,10.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.116,52.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,1277.0,0.152,73.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.339,75.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,377.0,0.137,40.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,64.0,0.135,12.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.251,25.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,721.0,0.145,38.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.114,12.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,346.0,0.209,77.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,1003.0,0.069,19.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,528.0,0.105,4.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
