tipo_celular,module_size,LMBRD2_MM,LMBRD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.201,37.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727,0.139,45.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.161,98.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.126,36.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09)
GABA neurons expressing GLU receptors 22,823,0.205,67.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.123,49.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137,0.186,20.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,90,0.083,3.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,450,0.058,3.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,358,0.191,68.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.057,17.0,288,1,0.35,1.29 (NA-NA),287,99.65,4.18 (3.99-4.38)
oligodendrocyte progenitor cells 12,3303,0.059,26.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,806,0.125,38.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,90,0.397,92.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768,0.036,5.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58)
oligodendrocytes 16,123,0.229,63.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,518,0.111,53.0,122,2,1.64,0.75 (-0.32-1.81),120,98.36,4.06 (3.67-4.45)
astrocytes microglia 23,157,0.291,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.181,98.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17)
oligodendrocytes 0,2078,0.106,32.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615,0.083,13.0,161,1,0.62,0.21 (NA-NA),160,99.38,3.30 (3.03-3.56)
oligodendrocytes 3,743,0.078,43.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
