tipo_celular,module_size,DHTKD1_MM,DHTKD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.09,5.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.15,91.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.109,17.0,353,15,4.25,1.23 (0.74-1.71),338,95.75,4.04 (3.87-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.205,78.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.271,96.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.192,36.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.042,11.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.199,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.11,72.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,7,2.54,1.72 (1.17-2.26),269,97.46,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.058,8.0,358,13,3.63,1.04 (0.58-1.49),345,96.37,4.01 (3.82-4.19)
connective tissue cells 21,84.0,0.325,81.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,367.0,0.205,84.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,155.0,0.221,54.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.334,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.166,77.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.108,38.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.101,37.0,161,14,8.7,1.09 (0.65-1.53),147,91.3,3.53 (3.27-3.79)
oligodendrocytes 3,357.0,0.087,44.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.127,23.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
