tipo_celular,module_size,TMLHE_MM,TMLHE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.14,9.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.081,7.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.136,82.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,15,4.25,1.32 (0.82-1.81),338,95.75,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,703.0,0.175,44.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,489.0,0.07,8.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.135,56.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.075,28.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,7,2.54,1.91 (1.44-2.37),269,97.46,3.60 (3.38-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.351,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.288,98.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.275,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.177,96.0,104,8,7.69,1.54 (0.89-2.18),96,92.31,2.98 (2.69-3.27)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.144,87.0,161,14,8.7,1.19 (0.73-1.65),147,91.3,3.52 (3.26-3.78)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
