tipo_celular,module_size,SYN2_MM,SYN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,24,6.8,1.88 (1.40-2.35),329,93.2,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,459.0,0.319,92.0,165,4,2.42,1.62 (0.72-2.52),161,97.58,5.19 (4.86-5.52)
GLU like neurons 17,795.0,0.117,42.0,80,4,5.0,4.35 (NA-NA),76,95.0,5.70 (5.29-6.12)
da like neurons 11,289.0,0.273,83.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,265.0,0.225,77.0,78,22,28.21,4.00 (3.19-4.81),56,71.79,4.47 (3.99-4.95)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.204,49.0,306,19,6.21,2.92 (2.13-3.71),287,93.79,5.30 (5.04-5.56)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,18,6.52,2.39 (1.95-2.83),258,93.48,3.65 (3.42-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.264,99.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
