tipo_celular,module_size,FSCN1_MM,FSCN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.194,37.0,98,17,17.35,2.37 (1.69-3.06),81,82.65,3.39 (2.85-3.93)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.183,52.0,8,3,37.5,2.24 (-0.28-4.75),5,62.5,3.62 (2.82-4.41)
endothelial cells 9,559.0,0.148,46.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,233.0,0.021,2.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.113,12.0,455,24,5.27,2.51 (1.76-3.27),431,94.73,4.46 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.061,17.0,129,8,6.2,4.42 (3.69-5.15),121,93.8,3.35 (2.94-3.77)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.162,40.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.346,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.134,28.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21)
microglia 1,813.0,0.122,58.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,743.0,0.096,68.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.157,22.0,175,18,10.29,3.53 (2.81-4.26),157,89.71,4.48 (4.10-4.85)
