tipo_celular,module_size,VWA8_MM,VWA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.127,26.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727,0.248,98.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141,0.181,96.0,166,3,1.81,1.21 (-0.09-2.50),163,98.19,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,448,0.155,62.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714,0.223,70.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,300,0.198,60.0,16,1,6.25,4.07 (NA-NA),15,93.75,1.93 (1.07-2.79)
da like neurons 11,191,0.22,40.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,288,0.149,39.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,586,0.199,46.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,330,0.494,99.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.222,57.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,218,0.346,99.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,138,0.516,82.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.197,68.0,358,10,2.79,1.22 (0.44-1.99),348,97.21,3.96 (3.78-4.15)
connective tissue cells 21,111,0.235,24.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367,0.092,20.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90,0.164,29.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.077,7.0,138,2,1.45,0.40 (0.12-0.69),136,98.55,4.90 (4.54-5.26)
astrocytes microglia 23,166,0.312,60.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,752,0.19,94.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479,0.147,47.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813,0.116,50.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003,0.14,81.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.194,87.0,84,2,2.38,1.74 (0.20-3.28),82,97.62,2.72 (2.38-3.06)
