tipo_celular,module_size,PSMD10_MM,PSMD10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.153,45.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.101,51.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
