tipo_celular,module_size,SNU13_MM,SNU13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.146,37.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,518.0,0.095,10.0,131,5,3.82,3.17 (3.09-3.26),126,96.18,3.07 (2.78-3.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.2,62.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.345,84.0,262,8,3.05,1.52 (0.66-2.37),254,96.95,4.26 (4.02-4.50)
GLU like neurons 17,1316.0,0.159,77.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42)
da like neurons 11,1220.0,0.337,87.0,410,14,3.41,3.12 (2.17-4.07),396,96.59,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.203,73.0,213,31,14.55,2.20 (1.54-2.86),182,85.45,4.08 (3.85-4.31)
endothelial cells 9,916.0,0.277,67.0,302,21,6.95,4.39 (3.26-5.52),281,93.05,3.95 (3.72-4.18)
oligodendrocytes 20,938.0,0.161,67.0,169,18,10.65,3.22 (2.18-4.27),151,89.35,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.632,97.0,455,54,11.87,2.89 (2.32-3.46),401,88.13,4.59 (4.40-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.074,37.0,235,23,9.79,4.40 (3.64-5.16),212,90.21,3.76 (3.52-4.00)
oligodendrocytes 10,735.0,0.266,96.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139.0,0.25,29.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.249,68.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729.0,0.244,87.0,182,26,14.29,3.84 (2.90-4.78),156,85.71,3.60 (3.35-3.85)
astrocytes microglia 23,108.0,0.308,43.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.127,25.0,252,38,15.08,2.70 (1.97-3.43),214,84.92,4.38 (4.15-4.62)
microglia 1,214.0,0.159,44.0,227,1,0.44,NA,226,99.56,4.09 (3.86-4.33)
oligodendrocytes 3,457.0,0.173,74.0,345,3,0.87,2.60 (1.72-3.48),342,99.13,4.29 (4.08-4.50)
oligodendrocytes 2,526.0,0.214,34.0,213,10,4.69,5.09 (3.56-6.61),203,95.31,3.93 (3.65-4.21)
