tipo_celular,module_size,ATP1A2_MM,ATP1A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.302,83.0,98,9,9.18,4.20 (2.90-5.50),89,90.82,4.65 (4.22-5.08)
oligodendrocyte progenitor cells 7,628.0,0.238,80.0,164,12,7.32,4.45 (3.49-5.41),152,92.68,4.04 (3.70-4.39)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.104,24.0,25,9,36.0,3.94 (1.63-6.25),16,64.0,5.16 (3.68-6.65)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.708,100.0,62,4,6.45,4.17 (2.82-5.51),58,93.55,4.04 (3.56-4.51)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.196,95.0,66,10,15.15,1.98 (0.98-2.99),56,84.85,3.49 (3.06-3.92)
oligodendrocyte progenitor cells 12,103.0,0.55,100.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.244,40.0,19,6,31.58,3.52 (2.91-4.12),13,68.42,5.47 (4.70-6.25)
astrocytes 15,418.0,0.258,65.0,54,24,44.44,3.43 (2.91-3.94),30,55.56,3.90 (3.22-4.57)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.435,91.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,201.0,0.288,92.0,18,6,33.33,3.13 (2.64-3.62),12,66.67,5.18 (4.10-6.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
