tipo_celular,module_size,CLUAP1_MM,CLUAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.112,55.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,34,9.63,2.19 (1.69-2.68),319,90.37,4.11 (3.92-4.29)
GABA neurons expressing GLU receptors 22,823.0,0.15,31.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.192,77.0,42,4,9.52,4.23 (4.11-4.34),38,90.48,6.26 (5.69-6.84)
da like neurons 11,168.0,0.072,8.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.152,61.0,125,7,5.6,4.34 (3.93-4.76),118,94.4,3.31 (2.98-3.64)
astrocytes 8,1266.0,0.087,57.0,66,23,34.85,2.13 (1.53-2.72),43,65.15,3.87 (3.41-4.32)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,26,9.42,2.75 (2.24-3.27),250,90.58,3.64 (3.41-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.398,92.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.094,57.0,96,10,10.42,3.14 (2.38-3.90),86,89.58,3.68 (3.18-4.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.322,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.153,54.0,65,8,12.31,4.27 (3.68-4.86),57,87.69,2.79 (2.37-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
