tipo_celular,module_size,LPCAT2_MM,LPCAT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.565,96.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,203.0,0.327,71.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.084,14.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.178,41.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.161,69.0,125,5,4.0,4.88 (3.82-5.95),120,96.0,3.27 (2.94-3.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.258,83.0,358,22,6.15,1.75 (1.10-2.40),336,93.85,4.05 (3.87-4.24)
connective tissue cells 21,85.0,0.24,20.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.274,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.417,84.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.111,15.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,315.0,0.317,92.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,639.0,0.112,63.0,15,10,66.67,2.99 (1.47-4.52),5,33.33,4.38 (1.08-7.68)
oligodendrocytes 2,804.0,0.162,61.0,84,8,9.52,1.78 (1.01-2.54),76,90.48,2.81 (2.46-3.17)
