tipo_celular,module_size,SLC38A1_MM,SLC38A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.097,12.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,499.0,0.242,88.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,10,2.83,1.26 (0.57-1.94),343,97.17,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,714.0,0.089,5.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1247.0,0.112,34.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,265.0,0.196,54.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266.0,0.228,80.0,118,7,5.93,4.32 (3.42-5.22),111,94.07,4.77 (4.39-5.15)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.018,2.0,110,7,6.36,2.37 (0.25-4.50),103,93.64,5.21 (4.79-5.63)
GABA like neurons 14,1300.0,0.071,5.0,306,34,11.11,3.56 (2.87-4.24),272,88.89,5.40 (5.13-5.66)
astrocytes 8,520.0,0.128,54.0,288,17,5.9,3.05 (2.40-3.69),271,94.1,4.24 (4.04-4.45)
oligodendrocyte progenitor cells 12,3303.0,0.101,76.0,276,12,4.35,1.63 (1.11-2.15),264,95.65,3.66 (3.44-3.88)
oligodendrocytes 10,735.0,0.191,86.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14)
connective tissue cells 21,69.0,0.332,67.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.188,96.0,96,3,3.12,1.95 (1.78-2.12),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,313.0,0.176,32.0,291,19,6.53,3.33 (2.53-4.12),272,93.47,4.42 (4.19-4.65)
da neurons 6,307.0,0.197,91.0,95,8,8.42,4.69 (4.09-5.29),87,91.58,4.87 (4.38-5.35)
astrocytes microglia 23,89.0,0.307,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.125,13.0,95,6,6.32,2.84 (1.14-4.55),89,93.68,3.42 (2.98-3.85)
oligodendrocytes 0,187.0,0.388,98.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.257,94.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348.0,0.181,43.0,114,5,4.39,3.62 (1.62-5.63),109,95.61,5.21 (4.80-5.62)
