tipo_celular,module_size,ECI2_MM,ECI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.107,14.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.122,60.0,136,2,1.47,NA,134,98.53,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,21,5.95,1.78 (0.93-2.64),332,94.05,4.05 (3.87-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.187,61.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,676.0,0.051,23.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2402.0,0.051,1.0,455,14,3.08,1.24 (0.73-1.75),441,96.92,4.48 (4.30-4.66)
astrocytes 8,262.0,0.083,19.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,1049.0,0.099,54.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,483.0,0.022,1.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,145.0,0.402,94.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,418.0,0.024,5.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,105.0,0.267,77.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.433,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.125,18.0,104,11,10.58,1.61 (1.00-2.22),93,89.42,3.02 (2.73-3.31)
oligodendrocytes 0,2078.0,0.088,8.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.054,12.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.13,27.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
