tipo_celular,module_size,CHMP2B_MM,CHMP2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.088,4.0,353,65,18.41,2.87 (2.49-3.26),288,81.59,4.21 (4.01-4.40)
GABA neurons expressing GLU receptors 22,703.0,0.216,68.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.126,27.0,410,65,15.85,3.77 (3.43-4.11),345,84.15,4.37 (4.15-4.59)
GABA neurons expressing GABA receptors 13,70.0,0.26,96.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,385.0,0.088,34.0,275,44,16.0,2.48 (1.99-2.97),231,84.0,4.32 (4.05-4.59)
oligodendrocytes 20,938.0,0.171,70.0,169,33,19.53,3.05 (2.67-3.43),136,80.47,3.59 (3.34-3.85)
GABA like neurons 14,2402.0,0.203,42.0,455,77,16.92,3.32 (2.96-3.68),378,83.08,4.63 (4.43-4.83)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,49,17.75,3.00 (2.60-3.39),227,82.25,3.70 (3.45-3.96)
oligodendrocytes 10,806.0,0.126,38.0,261,47,18.01,3.92 (3.51-4.33),214,81.99,4.49 (4.20-4.77)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,88.0,0.15,18.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.082,28.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.102,26.0,238,18,7.56,4.08 (3.20-4.96),220,92.44,3.60 (3.37-3.82)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.074,24.0,345,73,21.16,3.84 (3.55-4.13),272,78.84,4.43 (4.17-4.70)
oligodendrocytes 2,528.0,0.21,56.0,175,38,21.71,4.20 (3.70-4.71),137,78.29,4.44 (4.00-4.89)
