tipo_celular,module_size,ISCA1_MM,ISCA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,25,7.08,1.43 (1.08-1.77),328,92.92,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.253,65.0,262,7,2.67,1.54 (0.75-2.33),255,97.33,4.26 (4.02-4.50)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.205,59.0,410,7,1.71,2.50 (1.33-3.68),403,98.29,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.143,38.0,213,20,9.39,1.46 (1.03-1.88),193,90.61,4.08 (3.85-4.31)
endothelial cells 9,916.0,0.127,23.0,302,4,1.32,1.72 (0.55-2.89),298,98.68,4.02 (3.80-4.25)
oligodendrocytes 20,358.0,0.206,73.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.365,75.0,455,21,4.62,1.60 (1.09-2.11),434,95.38,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.028,2.0,235,1,0.43,4.95 (NA-NA),234,99.57,3.82 (3.58-4.05)
oligodendrocytes 10,806.0,0.194,62.0,261,2,0.77,2.35 (1.30-3.40),259,99.23,4.39 (4.14-4.63)
connective tissue cells 21,114.0,0.39,93.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.178,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.112,31.0,182,6,3.3,1.99 (1.28-2.69),176,96.7,3.69 (3.44-3.95)
astrocytes microglia 23,140.0,0.329,70.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.099,9.0,127,3,2.36,2.46 (0.01-4.91),124,97.64,3.07 (2.65-3.50)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.088,59.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.156,79.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
