tipo_celular,module_size,FUT8_MM,FUT8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.259,73.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,624.0,0.299,100.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,165.0,0.196,54.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.146,28.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.095,8.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.312,83.0,91,11,12.09,1.33 (0.57-2.09),80,87.91,5.17 (4.71-5.62)
da like neurons 11,408.0,0.308,75.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.297,68.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.236,46.0,110,2,1.82,3.44 (2.95-3.92),108,98.18,5.03 (4.58-5.49)
GABA like neurons 14,1300.0,0.216,55.0,306,11,3.59,2.52 (1.91-3.12),295,96.41,5.24 (4.98-5.50)
astrocytes 8,771.0,0.484,92.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,143.0,0.366,20.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,204.0,0.352,30.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.295,44.0,117,5,4.27,2.63 (1.84-3.43),112,95.73,5.54 (5.15-5.93)
astrocytes 15,338.0,0.118,25.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,287.0,0.183,21.0,105,4,3.81,2.97 (2.40-3.54),101,96.19,5.20 (4.75-5.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.24,33.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,752.0,0.177,85.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.188,75.0,40,1,2.5,3.69 (NA-NA),39,97.5,5.93 (5.42-6.45)
microglia 1,127.0,0.139,33.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99.0,0.154,17.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.322,86.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
