tipo_celular,module_size,ASIC2_MM,ASIC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.121,43.0,219,23,10.5,3.93 (3.40-4.46),196,89.5,5.44 (5.13-5.75)
GABA neurons expressing GLU receptors 22,459.0,0.137,40.0,165,24,14.55,3.13 (2.65-3.60),141,85.45,5.53 (5.17-5.88)
GLU like neurons 17,489.0,0.165,64.0,42,5,11.9,4.98 (4.91-5.05),37,88.1,6.20 (5.55-6.84)
da like neurons 11,853.0,0.172,73.0,133,1,0.75,0.21 (NA-NA),132,99.25,3.28 (2.97-3.59)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.26,74.0,306,38,12.42,3.45 (2.89-4.01),268,87.58,5.47 (5.20-5.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.48,95.0,37,9,24.32,3.17 (2.57-3.78),28,75.68,5.04 (4.38-5.70)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
