tipo_celular,module_size,ZNF326_MM,ZNF326_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.22,59.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.136,33.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.134,53.0,166,26,15.66,1.82 (1.50-2.14),140,84.34,3.74 (3.48-4.00)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,51,14.45,1.87 (1.57-2.17),302,85.55,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,567.0,0.209,58.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.138,63.0,101,2,1.98,2.83 (NA-NA),99,98.02,3.05 (2.70-3.41)
da like neurons 11,200.0,0.102,13.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.087,17.0,297,6,2.02,4.47 (NA-NA),291,97.98,3.67 (3.47-3.87)
oligodendrocytes 20,330.0,0.165,48.0,36,16,44.44,1.99 (1.77-2.21),20,55.56,1.86 (1.22-2.49)
GABA like neurons 14,3052.0,0.101,18.0,125,4,3.2,4.47 (NA-NA),121,96.8,3.34 (3.02-3.67)
astrocytes 8,218.0,0.062,35.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,45,16.3,2.02 (1.74-2.30),231,83.7,3.90 (3.67-4.13)
oligodendrocytes 10,2107.0,0.098,28.0,358,55,15.36,1.88 (1.57-2.19),303,84.64,4.31 (4.13-4.49)
connective tissue cells 21,95.0,0.303,61.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,443.0,0.171,64.0,9,1,11.11,NA,8,88.89,3.27 (1.98-4.55)
oligodendrocytes 16,81.0,0.187,58.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.366,72.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,787.0,0.175,89.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.137,91.0,238,11,4.62,2.53 (1.83-3.24),227,95.38,3.70 (3.47-3.93)
microglia 1,1615.0,0.105,43.0,161,41,25.47,1.66 (1.40-1.91),120,74.53,3.98 (3.71-4.24)
oligodendrocytes 3,1003.0,0.102,57.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.146,66.0,200,5,2.5,3.08 (1.91-4.25),195,97.5,3.64 (3.37-3.91)
