tipo_celular,module_size,ALDH1A1_MM,ALDH1A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.383,91.0,140,6,4.29,5.21 (4.03-6.40),134,95.71,4.47 (4.03-4.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.234,75.0,266,22,8.27,2.83 (2.01-3.65),244,91.73,4.22 (4.01-4.43)
oligodendrocyte progenitor cells 7,296.0,0.536,99.0,251,2,0.8,3.58 (3.27-3.89),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.199,45.0,262,21,8.02,2.87 (2.04-3.69),241,91.98,4.27 (4.02-4.52)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.427,94.0,410,16,3.9,3.12 (2.48-3.77),394,96.1,4.29 (4.10-4.49)
GABA neurons expressing GABA receptors 13,265.0,0.092,7.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.508,98.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,403.0,0.046,13.0,18,6,33.33,1.02 (0.41-1.64),12,66.67,2.30 (1.42-3.19)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,520.0,0.321,89.0,288,15,5.21,3.72 (2.85-4.60),273,94.79,4.19 (3.99-4.40)
oligodendrocyte progenitor cells 12,3303.0,0.136,96.0,276,16,5.8,1.92 (1.40-2.43),260,94.2,3.68 (3.45-3.90)
oligodendrocytes 10,806.0,0.537,97.0,261,15,5.75,3.55 (2.80-4.30),246,94.25,4.40 (4.15-4.65)
connective tissue cells 21,101.0,0.447,85.0,116,14,12.07,3.48 (2.49-4.46),102,87.93,4.73 (4.29-5.17)
astrocytes 15,268.0,0.144,69.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,313.0,0.63,100.0,291,8,2.75,2.58 (1.81-3.34),283,97.25,4.39 (4.17-4.62)
da neurons 6,228.0,0.577,100.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,141.0,0.297,73.0,30,4,13.33,4.33 (4.33-4.33),26,86.67,5.80 (4.84-6.75)
astrocytes 4,157.0,0.121,9.0,178,19,10.67,3.00 (2.03-3.97),159,89.33,4.27 (4.00-4.54)
oligodendrocytes 0,116.0,0.367,86.0,169,2,1.18,3.06 (1.75-4.38),167,98.82,4.30 (4.00-4.60)
microglia 1,214.0,0.498,96.0,227,16,7.05,4.13 (3.76-4.49),211,92.95,4.09 (3.84-4.34)
oligodendrocytes 3,457.0,0.512,100.0,345,17,4.93,3.43 (2.80-4.05),328,95.07,4.31 (4.10-4.53)
oligodendrocytes 2,99.0,0.45,86.0,116,2,1.72,3.58 (3.27-3.89),114,98.28,3.96 (3.66-4.27)
