tipo_celular,module_size,DHX8_MM,DHX8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.092,9.0,225,10,4.44,1.92 (1.24-2.61),215,95.56,3.72 (3.47-3.97)
astrocytes 5,1656.0,0.112,44.0,136,11,8.09,2.52 (1.67-3.37),125,91.91,3.28 (2.99-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.103,11.0,353,53,15.01,2.19 (1.78-2.61),300,84.99,4.26 (4.09-4.44)
GABA neurons expressing GLU receptors 22,848.0,0.194,44.0,262,9,3.44,1.70 (0.88-2.51),253,96.56,4.28 (4.04-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.24,73.0,36,11,30.56,1.88 (1.55-2.22),25,69.44,1.94 (1.45-2.43)
GABA like neurons 14,3052.0,0.093,14.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66)
astrocytes 8,47.0,0.046,27.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,708.0,0.054,18.0,32,9,28.12,1.14 (0.35-1.92),23,71.88,4.09 (3.25-4.93)
oligodendrocytes 10,1277.0,0.021,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.062,28.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,75.0,0.117,6.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.311,43.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807.0,0.13,24.0,104,31,29.81,1.74 (1.44-2.04),73,70.19,3.37 (3.05-3.69)
oligodendrocytes 0,2078.0,0.092,11.0,238,7,2.94,2.81 (1.46-4.16),231,97.06,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.053,7.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.132,31.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50)
