tipo_celular,module_size,ASAP2_MM,ASAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.139,45.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,7,1.98,2.51 (0.94-4.07),346,98.02,3.93 (3.74-4.11)
GABA neurons expressing GLU receptors 22,1069.0,0.111,14.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.189,76.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,61.0,0.476,87.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,266.0,0.112,21.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586.0,0.244,57.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,279.0,0.194,46.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.192,43.0,306,11,3.59,3.46 (2.64-4.27),295,96.41,5.18 (4.91-5.45)
astrocytes 8,1266.0,0.1,67.0,66,7,10.61,4.00 (2.87-5.13),59,89.39,3.12 (2.67-3.56)
oligodendrocyte progenitor cells 12,3303.0,0.108,81.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.044,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.281,43.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.099,62.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,123.0,0.16,18.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,518.0,0.102,42.0,122,3,2.46,1.40 (0.82-1.97),119,97.54,4.07 (3.68-4.47)
astrocytes microglia 23,125.0,0.189,3.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,201.0,0.112,6.0,18,7,38.89,4.08 (3.19-4.98),11,61.11,4.89 (3.48-6.31)
oligodendrocytes 0,1186.0,0.178,92.0,300,2,0.67,4.01 (3.12-4.91),298,99.33,3.79 (3.58-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.087,41.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.161,60.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
