tipo_celular,module_size,AP4E1_MM,AP4E1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.09,8.0,71,4,5.63,2.64 (0.93-4.35),67,94.37,2.62 (2.19-3.05)
T cells 18,727.0,0.092,12.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.124,64.0,136,5,3.68,3.73 (3.15-4.31),131,96.32,3.19 (2.91-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,29,8.22,2.35 (1.80-2.89),324,91.78,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,714.0,0.224,71.0,17,5,29.41,2.20 (2.10-2.31),12,70.59,2.35 (1.51-3.19)
GLU like neurons 17,1316.0,0.084,15.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,204.0,0.197,55.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.06,3.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.025,1.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.146,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.063,21.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.018,1.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.105,31.0,358,25,6.98,2.34 (1.71-2.97),333,93.02,4.02 (3.83-4.21)
connective tissue cells 21,95.0,0.325,71.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,367.0,0.048,10.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,86.0,0.145,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.304,44.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.152,63.0,104,18,17.31,2.71 (2.05-3.38),86,82.69,2.90 (2.59-3.21)
oligodendrocytes 0,2078.0,0.126,75.0,238,6,2.52,2.87 (1.59-4.15),232,97.48,3.66 (3.44-3.88)
microglia 1,1615.0,0.1,36.0,161,18,11.18,1.65 (1.06-2.24),143,88.82,3.53 (3.26-3.80)
oligodendrocytes 3,854.0,0.051,7.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.109,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
