tipo_celular,module_size,PCSK5_MM,PCSK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.23,67.0,102,13,12.75,1.92 (1.26-2.59),89,87.25,3.74 (3.36-4.12)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.255,82.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17)
oligodendrocyte progenitor cells 7,200.0,0.192,58.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.243,85.0,80,2,2.5,4.36 (4.34-4.38),78,97.5,5.73 (5.31-6.15)
da like neurons 11,145.0,0.261,58.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.238,65.0,54,1,1.85,6.49 (NA-NA),53,98.15,4.79 (4.15-5.42)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.127,39.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.384,98.0,78,7,8.97,3.23 (2.39-4.07),71,91.03,4.44 (4.00-4.88)
oligodendrocyte progenitor cells 12,3303.0,0.11,83.0,276,25,9.06,2.23 (1.81-2.64),251,90.94,3.72 (3.49-3.95)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.398,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.388,74.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.239,28.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,255.0,0.158,37.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.158,34.0,163,2,1.23,2.42 (2.37-2.47),161,98.77,3.73 (3.46-3.99)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
