tipo_celular,module_size,STYXL1_MM,STYXL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.088,6.0,32,2,6.25,3.12 (2.26-3.98),30,93.75,3.77 (2.94-4.61)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.132,79.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.086,3.0,353,22,6.23,1.92 (1.22-2.62),331,93.77,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,703.0,0.135,22.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.166,70.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,109.0,0.238,62.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.074,31.0,110,25,22.73,4.19 (3.36-5.02),85,77.27,5.37 (4.87-5.87)
GABA like neurons 14,2090.0,0.242,93.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.117,38.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,14,5.07,2.78 (1.76-3.79),262,94.93,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.075,27.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.177,12.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401.0,0.079,44.0,96,14,14.58,4.28 (3.31-5.25),82,85.42,3.47 (2.97-3.97)
oligodendrocytes 16,105.0,0.288,82.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.338,57.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.12,7.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.105,31.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.093,26.0,161,16,9.94,1.82 (0.89-2.75),145,90.06,3.46 (3.20-3.72)
oligodendrocytes 3,357.0,0.077,34.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43)
oligodendrocytes 2,407.0,0.139,32.0,122,12,9.84,1.05 (0.56-1.54),110,90.16,3.66 (3.27-4.05)
