tipo_celular,module_size,CCDC57_MM,CCDC57_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.081,5.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.122,26.0,98,5,5.1,0.64 (-0.00-1.28),93,94.9,3.27 (2.96-3.57)
astrocytes 5,932.0,0.107,47.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,19,5.38,1.93 (1.30-2.55),334,94.62,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,714.0,0.15,32.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.274,96.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.22,88.0,133,7,5.26,1.56 (0.43-2.69),126,94.74,3.37 (3.05-3.68)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.303,98.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.139,84.0,66,16,24.24,2.32 (1.45-3.19),50,75.76,3.52 (3.07-3.97)
oligodendrocyte progenitor cells 12,103.0,0.04,7.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.384,92.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.113,73.0,96,15,15.62,3.48 (2.81-4.15),81,84.38,3.64 (3.11-4.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.212,5.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,721.0,0.145,37.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.074,5.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
