tipo_celular,module_size,GABRB1_MM,GABRB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.265,74.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,200.0,0.095,14.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,459.0,0.217,72.0,165,22,13.33,2.68 (2.14-3.21),143,86.67,5.43 (5.09-5.76)
GLU like neurons 17,795.0,0.171,68.0,80,4,5.0,3.20 (2.35-4.05),76,95.0,5.87 (5.48-6.27)
da like neurons 11,153.0,0.431,96.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,288.0,0.134,28.0,93,9,9.68,2.71 (1.49-3.94),84,90.32,5.46 (4.97-5.94)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.058,24.0,18,1,5.56,0.79 (NA-NA),17,94.44,1.94 (1.23-2.65)
GABA like neurons 14,1300.0,0.199,47.0,306,31,10.13,2.82 (2.24-3.39),275,89.87,5.41 (5.15-5.67)
astrocytes 8,279.0,0.26,43.0,78,9,11.54,3.06 (2.04-4.08),69,88.46,4.51 (4.08-4.94)
oligodendrocyte progenitor cells 12,138.0,0.489,65.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA
oligodendrocytes 10,806.0,0.167,54.0,261,9,3.45,3.21 (2.17-4.24),252,96.55,4.41 (4.17-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.599,98.0,54,11,20.37,3.12 (2.50-3.75),43,79.63,3.83 (3.31-4.35)
oligodendrocytes 16,149.0,0.312,80.0,70,1,1.43,4.35 (NA-NA),69,98.57,5.68 (5.20-6.16)
da neurons 6,307.0,0.134,62.0,95,1,1.05,4.35 (NA-NA),94,98.95,4.85 (4.41-5.30)
astrocytes microglia 23,141.0,0.361,88.0,30,4,13.33,3.55 (2.03-5.07),26,86.67,6.00 (5.08-6.92)
astrocytes 4,220.0,0.294,97.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,187.0,0.206,66.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.116,59.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348.0,0.099,4.0,114,6,5.26,3.80 (2.73-4.88),108,94.74,5.20 (4.77-5.63)
