tipo_celular,module_size,ZC3H15_MM,ZC3H15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.178,31.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,393,0.085,7.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.109,39.0,136,6,4.41,1.49 (1.28-1.70),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,296,0.132,19.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,703,0.333,98.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.1,28.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.256,72.0,410,6,1.46,2.44 (1.35-3.53),404,98.54,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,357,0.1,14.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65)
endothelial cells 9,916,0.123,22.0,302,2,0.66,1.71 (-1.24-4.67),300,99.34,4.00 (3.78-4.23)
oligodendrocytes 20,228,0.143,26.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402,0.413,81.0,455,14,3.08,1.55 (1.02-2.09),441,96.92,4.47 (4.28-4.65)
astrocytes 8,520,0.146,60.0,288,5,1.74,2.24 (0.99-3.48),283,98.26,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,1049,0.069,33.0,235,3,1.28,3.23 (2.69-3.78),232,98.72,3.83 (3.60-4.07)
oligodendrocytes 10,735,0.155,77.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,118,0.279,38.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,367,0.215,88.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,116,0.175,31.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,409,0.236,85.0,235,4,1.7,1.44 (0.56-2.32),231,98.3,4.04 (3.79-4.28)
astrocytes microglia 23,91,0.272,56.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,1807,0.12,12.0,104,13,12.5,1.36 (0.95-1.77),91,87.5,3.10 (2.81-3.39)
oligodendrocytes 0,613,0.105,13.0,127,2,1.57,1.21 (0.81-1.61),125,98.43,3.10 (2.68-3.52)
microglia 1,214,0.094,11.0,227,1,0.44,3.22 (NA-NA),226,99.56,4.10 (3.86-4.33)
oligodendrocytes 3,457,0.085,31.0,345,6,1.74,4.26 (3.39-5.12),339,98.26,4.27 (4.06-4.49)
oligodendrocytes 2,921,0.124,28.0,200,3,1.5,2.17 (1.07-3.26),197,98.5,3.65 (3.38-3.92)
