tipo_celular,module_size,SAMHD1_MM,SAMHD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.239,77.0,73,10,13.7,4.21 (3.38-5.05),63,86.3,3.43 (3.06-3.81)
T cells 18,393.0,0.145,45.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.1,19.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.086,15.0,91,15,16.48,1.62 (0.97-2.26),76,83.52,5.31 (4.86-5.76)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.064,2.0,237,8,3.38,2.63 (2.18-3.08),229,96.62,4.49 (4.26-4.73)
endothelial cells 9,559.0,0.122,34.0,155,3,1.94,3.14 (2.59-3.69),152,98.06,4.36 (3.99-4.73)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.374,84.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.097,17.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,255.0,0.269,58.0,57,3,5.26,2.53 (2.01-3.06),54,94.74,2.66 (2.28-3.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.086,16.0,161,37,22.98,2.30 (1.74-2.86),124,77.02,3.65 (3.38-3.92)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
