tipo_celular,module_size,PGM2L1_MM,PGM2L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.2,65.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.347,92.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.487,98.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40)
GLU like neurons 17,380.0,0.284,96.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.403,93.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,265.0,0.257,85.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.347,92.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.475,86.0,455,2,0.44,0.61 (-0.07-1.28),453,99.56,4.36 (4.18-4.55)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,4,1.45,3.61 (2.89-4.33),272,98.55,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.285,68.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.255,97.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,101.0,0.325,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
