tipo_celular,module_size,NUAK1_MM,NUAK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.097,9.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.221,63.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40)
GLU like neurons 17,1247.0,0.082,14.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,265.0,0.154,35.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,238.0,0.162,49.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653.0,0.14,60.0,297,3,1.01,4.07 (1.04-7.10),294,98.99,3.67 (3.47-3.87)
oligodendrocytes 20,330.0,0.138,34.0,36,8,22.22,2.20 (1.69-2.71),28,77.78,1.85 (1.43-2.27)
GABA like neurons 14,2090.0,0.224,88.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.088,36.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,126.0,0.295,56.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.192,43.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,448.0,0.106,56.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,53.0,0.223,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.129,43.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813.0,0.109,42.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,639.0,0.118,66.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,131.0,0.169,39.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
