tipo_celular,module_size,ELMO1_MM,ELMO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.206,70.0,32,9,28.12,4.92 (3.96-5.88),23,71.88,3.22 (2.27-4.17)
T cells 18,349.0,0.231,65.0,68,12,17.65,2.36 (1.47-3.26),56,82.35,4.91 (4.35-5.47)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.372,91.0,45,1,2.22,4.78 (NA-NA),44,97.78,5.01 (4.38-5.65)
GABA neurons expressing GLU receptors 22,567.0,0.366,88.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,637.0,0.379,91.0,91,17,18.68,3.19 (2.22-4.15),74,81.32,4.96 (4.39-5.53)
da like neurons 11,408.0,0.561,94.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,288.0,0.477,96.0,93,14,15.05,3.14 (2.20-4.08),79,84.95,5.60 (5.09-6.10)
endothelial cells 9,450.0,0.447,84.0,74,3,4.05,3.88 (1.74-6.02),71,95.95,5.57 (5.00-6.13)
oligodendrocytes 20,676.0,0.374,64.0,110,11,10.0,3.27 (2.06-4.49),99,90.0,5.27 (4.82-5.72)
GABA like neurons 14,1300.0,0.195,45.0,306,31,10.13,3.02 (2.37-3.67),275,89.87,5.43 (5.18-5.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.429,95.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,2107.0,0.348,94.0,358,19,5.31,2.00 (1.29-2.72),339,94.69,4.00 (3.80-4.19)
connective tissue cells 21,250.0,0.497,77.0,117,15,12.82,3.76 (2.99-4.54),102,87.18,5.72 (5.30-6.13)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,199.0,0.169,50.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398.0,0.525,97.0,138,20,14.49,3.06 (2.21-3.91),118,85.51,5.15 (4.77-5.52)
astrocytes microglia 23,229.0,0.532,97.0,99,4,4.04,5.21 (4.83-5.58),95,95.96,4.25 (3.91-4.60)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.235,76.0,14,3,21.43,6.26 (4.45-8.07),11,78.57,5.39 (4.74-6.05)
microglia 1,1615.0,0.269,100.0,161,14,8.7,2.40 (1.51-3.29),147,91.3,3.38 (3.10-3.65)
oligodendrocytes 3,681.0,0.259,100.0,87,5,5.75,1.89 (0.79-2.98),82,94.25,2.63 (2.35-2.91)
oligodendrocytes 2,348.0,0.308,83.0,114,14,12.28,4.74 (4.00-5.47),100,87.72,5.19 (4.72-5.65)
