tipo_celular,module_size,RNF144A_MM,RNF144A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.249,98.0,49,11,22.45,4.11 (3.34-4.89),38,77.55,2.12 (1.75-2.49)
astrocytes 5,423.0,0.105,18.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,436.0,0.188,79.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.211,81.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.108,37.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,61.0,0.426,79.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.455,84.0,74,1,1.35,3.38 (NA-NA),73,98.65,5.51 (4.95-6.06)
oligodendrocytes 20,676.0,0.477,76.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,3052.0,0.159,67.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68)
astrocytes 8,771.0,0.297,80.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,254.0,0.177,26.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,236.0,0.596,78.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250.0,0.342,60.0,117,2,1.71,1.29 (NA-NA),115,98.29,5.42 (5.03-5.81)
astrocytes 15,458.0,0.118,63.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92)
oligodendrocytes 16,287.0,0.447,89.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.373,74.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,514.0,0.112,7.0,95,5,5.26,1.76 (0.49-3.02),90,94.74,3.49 (3.06-3.92)
oligodendrocytes 0,261.0,0.177,42.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.26,52.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,348.0,0.127,12.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
