tipo_celular,module_size,WIPF2_MM,WIPF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.204,47.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,282,0.137,20.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932,0.098,33.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666,0.174,56.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,1069,0.201,75.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247,0.127,44.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.127,48.0,133,1,0.75,3.52 (NA-NA),132,99.25,3.25 (2.94-3.57)
GABA neurons expressing GABA receptors 13,77,0.25,93.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.084,16.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.211,62.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090,0.199,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.11,72.0,66,2,3.03,2.24 (-0.28-4.75),64,96.97,3.26 (2.84-3.69)
oligodendrocyte progenitor cells 12,3303,0.157,100.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107,0.02,1.0,358,5,1.4,1.45 (0.29-2.61),353,98.6,3.91 (3.71-4.10)
connective tissue cells 21,82,0.426,94.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,367,0.104,24.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,155,0.232,61.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,448,0.141,80.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,255,0.199,12.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,721,0.097,1.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.113,11.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.106,43.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,681,0.056,13.0,87,3,3.45,2.01 (0.32-3.69),84,96.55,2.61 (2.33-2.88)
oligodendrocytes 2,921,0.155,79.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
