tipo_celular,module_size,POU3F2_MM,POU3F2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.119,66.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,628.0,0.145,36.0,164,2,1.22,4.61 (4.14-5.08),162,98.78,4.08 (3.74-4.41)
GABA neurons expressing GLU receptors 22,487.0,0.253,64.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.229,65.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.162,35.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.157,27.0,455,19,4.18,1.35 (0.92-1.77),436,95.82,4.53 (4.35-4.70)
astrocytes 8,520.0,0.105,44.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,44,15.94,1.99 (1.77-2.21),232,84.06,3.94 (3.71-4.17)
oligodendrocytes 10,806.0,0.303,80.0,261,5,1.92,5.65 (4.87-6.44),256,98.08,4.33 (4.09-4.58)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.025,2.0,96,6,6.25,2.18 (1.36-2.99),90,93.75,3.73 (3.26-4.20)
oligodendrocytes 16,313.0,0.233,57.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,228.0,0.176,86.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,41.0,0.222,10.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,721.0,0.147,43.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613.0,0.122,27.0,127,13,10.24,2.06 (1.70-2.42),114,89.76,3.24 (2.77-3.72)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.111,47.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,1630.0,0.181,99.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
