tipo_celular,module_size,EED_MM,EED_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.238,94.0,71,7,9.86,1.92 (1.13-2.70),64,90.14,2.71 (2.26-3.16)
T cells 18,624.0,0.1,13.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,60,17.0,2.09 (1.81-2.38),293,83.0,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,599.0,0.185,36.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.066,4.0,141,8,5.67,1.99 (1.35-2.64),133,94.33,3.03 (2.78-3.27)
oligodendrocytes 20,322.0,0.202,77.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.112,27.0,125,1,0.8,3.17 (NA-NA),124,99.2,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.04,8.0,276,45,16.3,2.02 (1.76-2.27),231,83.7,3.90 (3.67-4.13)
oligodendrocytes 10,2107.0,0.074,14.0,358,73,20.39,2.25 (1.94-2.55),285,79.61,4.38 (4.19-4.56)
connective tissue cells 21,116.0,0.494,100.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,61.0,0.313,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.305,44.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.112,45.0,238,17,7.14,2.63 (2.17-3.08),221,92.86,3.72 (3.49-3.96)
microglia 1,1615.0,0.132,79.0,161,57,35.4,2.11 (1.81-2.41),104,64.6,4.08 (3.78-4.37)
oligodendrocytes 3,681.0,0.064,19.0,87,53,60.92,2.40 (2.09-2.71),34,39.08,2.91 (2.41-3.40)
oligodendrocytes 2,1630.0,0.161,86.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
