tipo_celular,module_size,ZNF91_MM,ZNF91_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.13,29.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727,0.171,71.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.122,36.0,166,28,16.87,2.28 (1.80-2.77),138,83.13,3.67 (3.41-3.94)
oligodendrocyte progenitor cells 7,4285,0.062,1.0,353,44,12.46,1.96 (1.63-2.30),309,87.54,4.26 (4.08-4.44)
GABA neurons expressing GLU receptors 22,192,0.283,88.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.306,99.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.219,88.0,133,45,33.83,2.17 (1.84-2.50),88,66.17,3.97 (3.58-4.36)
GABA neurons expressing GABA receptors 13,93,0.093,4.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.136,56.0,297,4,1.35,4.62 (4.62-4.62),293,98.65,3.67 (3.46-3.87)
oligodendrocytes 20,298,0.176,65.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.342,96.0,306,7,2.29,1.30 (0.68-1.92),299,97.71,5.23 (4.97-5.48)
astrocytes 8,1266,0.094,62.0,66,12,18.18,1.50 (0.77-2.22),54,81.82,3.69 (3.29-4.09)
oligodendrocyte progenitor cells 12,218,0.431,100.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.068,13.0,358,51,14.25,1.97 (1.64-2.30),307,85.75,4.29 (4.11-4.47)
connective tissue cells 21,90,0.215,9.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,458,0.107,58.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,71,0.146,22.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,553,0.099,28.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,255,0.305,83.0,57,2,3.51,2.80 (1.08-4.52),55,96.49,2.65 (2.27-3.02)
astrocytes 4,752,0.182,89.0,96,10,10.42,3.13 (2.49-3.76),86,89.58,3.31 (2.95-3.68)
oligodendrocytes 0,1186,0.142,44.0,300,5,1.67,3.64 (2.85-4.44),295,98.33,3.80 (3.59-4.00)
microglia 1,1615,0.117,61.0,161,38,23.6,1.82 (1.48-2.17),123,76.4,3.86 (3.58-4.13)
oligodendrocytes 3,357,0.104,57.0,127,6,4.72,3.63 (2.49-4.78),121,95.28,3.10 (2.76-3.44)
oligodendrocytes 2,804,0.136,31.0,84,6,7.14,2.29 (0.77-3.80),78,92.86,2.73 (2.39-3.07)
