tipo_celular,module_size,THBS2_MM,THBS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.179,53.0,58,14,24.14,4.35 (3.45-5.25),44,75.86,4.10 (3.62-4.58)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,10,2.83,1.03 (0.50-1.57),343,97.17,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.185,47.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.098,41.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.211,76.0,32,6,18.75,0.78 (0.08-1.47),26,81.25,3.92 (3.11-4.73)
oligodendrocytes 10,1277.0,0.064,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,142.0,0.203,4.0,55,4,7.27,1.35 (-0.35-3.06),51,92.73,3.76 (2.89-4.63)
astrocytes 15,1401.0,0.095,59.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105.0,0.18,27.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.346,66.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.112,7.0,104,3,2.88,1.01 (0.10-1.93),101,97.12,2.92 (2.64-3.20)
oligodendrocytes 0,613.0,0.209,92.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.171,95.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.207,53.0,175,6,3.43,3.38 (3.00-3.76),169,96.57,4.41 (4.05-4.77)
