tipo_celular,module_size,CDH2_MM,CDH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.157,83.0,166,10,6.02,1.71 (1.10-2.32),156,93.98,3.52 (3.27-3.78)
oligodendrocyte progenitor cells 7,448.0,0.164,68.0,108,1,0.93,5.50 (NA-NA),107,99.07,3.23 (2.79-3.67)
GABA neurons expressing GLU receptors 22,459.0,0.125,32.0,165,35,21.21,4.31 (3.51-5.11),130,78.79,5.33 (4.97-5.69)
GLU like neurons 17,685.0,0.158,64.0,135,15,11.11,2.37 (1.46-3.29),120,88.89,3.29 (2.96-3.61)
da like neurons 11,209.0,0.281,74.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.123,15.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658.0,0.272,71.0,120,30,25.0,4.51 (3.84-5.18),90,75.0,4.64 (4.28-5.00)
oligodendrocytes 20,330.0,0.221,68.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,1300.0,0.095,9.0,306,92,30.07,4.63 (4.17-5.09),214,69.93,5.39 (5.08-5.69)
astrocytes 8,140.0,0.297,90.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,138.0,0.445,38.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA
oligodendrocytes 10,204.0,0.074,9.0,92,16,17.39,5.62 (4.52-6.72),76,82.61,5.72 (5.19-6.25)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.098,61.0,105,12,11.43,1.86 (1.31-2.41),93,88.57,3.40 (3.05-3.76)
oligodendrocytes 16,90.0,0.116,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.236,30.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,220.0,0.165,51.0,63,34,53.97,5.39 (4.71-6.08),29,46.03,4.76 (3.82-5.70)
oligodendrocytes 0,2078.0,0.16,100.0,238,5,2.1,2.38 (1.14-3.63),233,97.9,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.147,91.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,804.0,0.145,43.0,84,6,7.14,1.62 (0.47-2.77),78,92.86,2.79 (2.45-3.14)
