tipo_celular,module_size,PURG_MM,PURG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.144,69.0,166,19,11.45,1.55 (1.23-1.86),147,88.55,3.69 (3.44-3.94)
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,35,9.92,1.61 (1.34-1.89),318,90.08,4.23 (4.05-4.40)
GABA neurons expressing GLU receptors 22,823.0,0.082,4.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,795.0,0.128,49.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.11,14.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.079,31.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.226,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.043,5.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,29,10.51,1.73 (1.50-1.97),247,89.49,3.83 (3.61-4.05)
oligodendrocytes 10,806.0,0.109,31.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,88.0,0.347,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.109,71.0,105,12,11.43,1.24 (0.82-1.66),93,88.57,3.49 (3.15-3.83)
oligodendrocytes 16,90.0,0.225,63.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.282,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.163,72.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.126,75.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.097,69.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
