tipo_celular,module_size,CTR9_MM,CTR9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.288,86.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,727.0,0.149,55.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,25.0,353,70,19.83,2.29 (2.01-2.58),283,80.17,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,1069.0,0.215,82.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.071,3.0,410,5,1.22,1.42 (0.49-2.35),405,98.78,4.29 (4.10-4.47)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.072,15.0,275,61,22.18,2.25 (1.97-2.53),214,77.82,4.74 (4.47-5.00)
oligodendrocytes 20,403.0,0.063,27.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73)
GABA like neurons 14,3052.0,0.116,30.0,125,8,6.4,4.07 (3.47-4.68),117,93.6,3.32 (2.99-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,54,19.57,2.15 (1.90-2.40),222,80.43,3.96 (3.73-4.20)
oligodendrocytes 10,735.0,0.07,28.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,126.0,0.26,36.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.315,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.125,65.0,122,6,4.92,0.73 (0.23-1.23),116,95.08,4.21 (3.84-4.59)
astrocytes microglia 23,67.0,0.269,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.089,9.0,238,19,7.98,2.77 (2.30-3.23),219,92.02,3.72 (3.49-3.96)
microglia 1,958.0,0.105,41.0,290,15,5.17,2.72 (1.99-3.45),275,94.83,3.89 (3.65-4.13)
oligodendrocytes 3,743.0,0.064,23.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.169,93.0,154,4,2.6,3.89 (2.74-5.04),150,97.4,3.23 (2.96-3.50)
