tipo_celular,module_size,MIPEP_MM,MIPEP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.141,38.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,26,7.37,1.98 (1.44-2.51),327,92.63,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.164,40.0,17,1,5.88,2.06 (NA-NA),16,94.12,2.32 (1.70-2.94)
GLU like neurons 17,1247.0,0.1,25.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,101.0,0.113,24.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.024,2.0,169,9,5.33,2.54 (1.68-3.40),160,94.67,3.55 (3.32-3.77)
GABA like neurons 14,3052.0,0.152,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.134,62.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,16,5.8,2.30 (1.70-2.89),260,94.2,3.64 (3.42-3.87)
oligodendrocytes 10,2107.0,0.128,42.0,358,24,6.7,1.98 (1.40-2.56),334,93.3,4.05 (3.86-4.24)
connective tissue cells 21,84.0,0.365,85.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.093,56.0,105,16,15.24,2.13 (1.54-2.71),89,84.76,3.43 (3.06-3.79)
oligodendrocytes 16,65.0,0.208,58.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.416,97.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.142,32.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.187,75.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.126,72.0,15,6,40.0,1.29 (0.28-2.30),9,60.0,5.05 (3.62-6.47)
oligodendrocytes 2,804.0,0.132,27.0,84,5,5.95,1.54 (0.43-2.66),79,94.05,2.78 (2.44-3.12)
