tipo_celular,module_size,FXR2_MM,FXR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.084,3.0,251,1,0.4,4.08 (NA-NA),250,99.6,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.261,67.0,262,42,16.03,3.91 (3.24-4.59),220,83.97,4.21 (3.95-4.47)
GLU like neurons 17,1316.0,0.135,60.0,101,3,2.97,2.89 (2.79-3.00),98,97.03,3.06 (2.69-3.42)
da like neurons 11,1220.0,0.191,53.0,410,19,4.63,3.40 (2.80-3.99),391,95.37,4.30 (4.10-4.49)
GABA neurons expressing GABA receptors 13,86.0,0.177,62.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,338.0,0.137,52.0,191,1,0.52,NA,190,99.48,3.88 (3.66-4.11)
oligodendrocytes 20,330.0,0.198,58.0,36,14,38.89,2.09 (1.72-2.46),22,61.11,1.81 (1.27-2.34)
GABA like neurons 14,2402.0,0.238,53.0,455,43,9.45,2.67 (2.11-3.23),412,90.55,4.57 (4.38-4.75)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.093,67.0,276,56,20.29,2.53 (2.18-2.87),220,79.71,3.88 (3.64-4.13)
oligodendrocytes 10,806.0,0.201,63.0,261,25,9.58,5.05 (4.21-5.90),236,90.42,4.30 (4.05-4.55)
connective tissue cells 21,104.0,0.137,1.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.365,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.115,46.0,95,4,4.21,2.92 (NA-NA),91,95.79,4.87 (4.43-5.31)
astrocytes microglia 23,125.0,0.33,58.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.094,13.0,238,27,11.34,4.00 (3.39-4.62),211,88.66,3.58 (3.34-3.81)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.097,38.0,345,26,7.54,3.87 (3.12-4.62),319,92.46,4.31 (4.09-4.53)
oligodendrocytes 2,528.0,0.196,48.0,175,7,4.0,2.96 (1.89-4.04),168,96.0,4.47 (4.11-4.83)
