tipo_celular,module_size,HIF1AN_MM,HIF1AN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.072,7.0,68,6,8.82,1.77 (0.06-3.47),62,91.18,4.59 (4.04-5.13)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,23,6.52,2.07 (1.49-2.66),330,93.48,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.178,45.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.118,46.0,169,3,1.78,1.74 (-0.94-4.42),166,98.22,3.52 (3.30-3.73)
GABA like neurons 14,3052.0,0.097,16.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,17,6.16,2.48 (1.86-3.09),259,93.84,3.63 (3.40-3.86)
oligodendrocytes 10,806.0,0.059,10.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.287,95.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.376,76.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,62.0,238,4,1.68,2.78 (0.77-4.78),234,98.32,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.047,6.0,87,18,20.69,2.48 (1.83-3.14),69,79.31,2.61 (2.31-2.91)
oligodendrocytes 2,1630.0,0.136,37.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
