tipo_celular,module_size,MYO16_MM,MYO16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.164,47.0,58,14,24.14,3.37 (2.55-4.20),44,75.86,4.46 (4.00-4.93)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,25,7.08,1.63 (1.21-2.05),328,92.92,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,823.0,0.288,94.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.605,100.0,42,13,30.95,6.48 (5.59-7.37),29,69.05,5.62 (4.94-6.30)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.229,60.0,306,47,15.36,4.05 (3.35-4.75),259,84.64,5.36 (5.10-5.62)
astrocytes 8,218.0,0.145,67.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.09,65.0,276,15,5.43,1.77 (1.27-2.27),261,94.57,3.66 (3.44-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.221,98.0,96,10,10.42,4.01 (2.77-5.25),86,89.58,3.57 (3.09-4.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.327,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.219,70.0,45,2,4.44,7.00 (NA-NA),43,95.56,5.22 (4.59-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
