tipo_celular,module_size,INTS6L_MM,INTS6L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.061,1.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518.0,0.111,21.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.127,69.0,136,8,5.88,3.43 (1.79-5.07),128,94.12,3.19 (2.92-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.167,91.0,353,21,5.95,1.20 (0.89-1.51),332,94.05,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,1069.0,0.157,44.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,209.0,0.136,32.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.074,9.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,228.0,0.574,98.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04)
GABA like neurons 14,3052.0,0.15,59.0,125,1,0.8,7.59 (NA-NA),124,99.2,3.31 (2.99-3.62)
astrocytes 8,727.0,0.061,18.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,16,5.8,1.74 (1.23-2.26),260,94.2,3.69 (3.47-3.91)
oligodendrocytes 10,2107.0,0.21,72.0,358,23,6.42,1.56 (0.99-2.12),335,93.58,4.08 (3.90-4.26)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.275,97.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,90.0,0.111,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.391,87.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807.0,0.141,44.0,104,17,16.35,1.39 (1.07-1.71),87,83.65,3.18 (2.89-3.47)
oligodendrocytes 0,2078.0,0.109,40.0,238,6,2.52,2.92 (1.24-4.59),232,97.48,3.66 (3.44-3.88)
microglia 1,958.0,0.131,77.0,290,1,0.34,2.83 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,681.0,0.084,40.0,87,16,18.39,1.32 (1.05-1.58),71,81.61,2.90 (2.61-3.18)
oligodendrocytes 2,1630.0,0.116,9.0,154,2,1.3,5.35 (4.78-5.92),152,98.7,3.21 (2.95-3.48)
