tipo_celular,module_size,CCM2_MM,CCM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.115,4.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,727,0.168,69.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.102,29.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.128,38.0,353,11,3.12,0.94 (0.44-1.45),342,96.88,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,703,0.208,63.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,380,0.193,66.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220,0.117,23.0,410,2,0.49,1.18 (-0.06-2.43),408,99.51,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,101,0.163,53.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,303,0.064,9.0,54,2,3.7,5.82 (4.50-7.13),52,96.3,4.77 (4.12-5.43)
oligodendrocytes 20,279,0.186,42.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.147,24.0,455,9,1.98,0.92 (0.36-1.47),446,98.02,4.44 (4.26-4.62)
astrocytes 8,283,0.106,31.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.071,39.0,276,6,2.17,1.50 (0.83-2.17),270,97.83,3.60 (3.38-3.82)
oligodendrocytes 10,2107,0.118,38.0,358,13,3.63,0.87 (0.47-1.27),345,96.37,4.01 (3.83-4.20)
connective tissue cells 21,125,0.233,21.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401,0.098,62.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,88,0.218,64.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.111,29.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,61,0.257,29.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.154,55.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479,0.1,7.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,1615,0.111,52.0,161,12,7.45,1.17 (0.53-1.82),149,92.55,3.48 (3.22-3.74)
oligodendrocytes 3,1003,0.077,29.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.086,2.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
