tipo_celular,module_size,ALG13_MM,ALG13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.152,52.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,477.0,0.178,61.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.152,95.0,136,7,5.15,3.09 (2.22-3.95),129,94.85,3.22 (2.93-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,14,3.97,1.37 (0.80-1.93),339,96.03,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.114,8.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.152,74.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,209.0,0.081,5.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.165,35.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,330.0,0.046,10.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.245,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.066,23.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,7,2.54,2.05 (1.25-2.85),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.192,67.0,358,11,3.07,1.05 (0.52-1.58),347,96.93,3.98 (3.79-4.17)
connective tissue cells 21,77.0,0.279,43.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1768.0,0.066,29.0,105,11,10.48,2.50 (1.80-3.20),94,89.52,3.30 (2.94-3.67)
oligodendrocytes 16,156.0,0.197,50.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.347,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.15,28.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186.0,0.145,50.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.15,89.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,854.0,0.107,70.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15)
oligodendrocytes 2,921.0,0.149,71.0,200,3,1.5,2.40 (1.55-3.25),197,98.5,3.64 (3.38-3.91)
