tipo_celular,module_size,PITPNM2_MM,PITPNM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.169,49.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,200.0,0.205,63.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.181,72.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,265.0,0.309,88.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.186,85.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.149,46.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,260.0,0.252,94.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.06,26.0,276,16,5.8,3.86 (2.83-4.89),260,94.2,3.52 (3.29-3.74)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.308,58.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.169,93.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.199,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.154,37.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
