tipo_celular,module_size,USP3_MM,USP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.205,73.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47)
T cells 18,610.0,0.21,85.0,98,24,24.49,1.83 (1.29-2.37),74,75.51,3.60 (3.29-3.91)
astrocytes 5,1141.0,0.135,56.0,166,26,15.66,2.34 (1.82-2.87),140,84.34,3.64 (3.37-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,38,10.76,2.03 (1.57-2.49),315,89.24,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.108,37.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.192,56.0,141,1,0.71,2.31 (NA-NA),140,99.29,2.97 (2.73-3.21)
oligodendrocytes 20,295.0,0.424,94.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,3052.0,0.147,58.0,125,3,2.4,3.13 (2.95-3.30),122,97.6,3.36 (3.03-3.69)
astrocytes 8,577.0,0.062,29.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,1049.0,0.031,3.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.325,92.0,358,41,11.45,2.03 (1.60-2.47),317,88.55,4.15 (3.96-4.34)
connective tissue cells 21,103.0,0.209,13.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.11,71.0,105,16,15.24,1.70 (1.25-2.15),89,84.76,3.49 (3.13-3.85)
oligodendrocytes 16,122.0,0.255,82.0,11,1,9.09,NA,10,90.91,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.342,95.0,47,4,8.51,3.39 (0.91-5.87),43,91.49,2.80 (2.49-3.11)
astrocytes 4,514.0,0.191,55.0,95,2,2.11,1.94 (NA-NA),93,97.89,3.39 (2.97-3.81)
oligodendrocytes 0,2078.0,0.131,83.0,238,15,6.3,3.18 (2.31-4.04),223,93.7,3.66 (3.43-3.89)
microglia 1,1615.0,0.14,84.0,161,30,18.63,1.99 (1.50-2.48),131,81.37,3.65 (3.37-3.93)
oligodendrocytes 3,1003.0,0.089,43.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.1,3.0,154,4,2.6,3.22 (NA-NA),150,97.4,3.24 (2.98-3.51)
