tipo_celular,module_size,PSMA4_MM,PSMA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.156,52.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.135,29.0,164,4,2.44,4.02 (3.77-4.27),160,97.56,4.09 (3.75-4.43)
GABA neurons expressing GLU receptors 22,848.0,0.108,7.0,262,25,9.54,3.19 (2.59-3.79),237,90.46,4.27 (4.01-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.148,37.0,410,28,6.83,3.32 (2.86-3.77),382,93.17,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,417.0,0.112,13.0,213,37,17.37,2.45 (1.92-2.97),176,82.63,4.08 (3.83-4.33)
endothelial cells 9,916.0,0.123,22.0,302,9,2.98,3.40 (2.47-4.33),293,97.02,4.00 (3.77-4.23)
oligodendrocytes 20,250.0,0.204,61.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.217,46.0,455,43,9.45,2.53 (2.06-2.99),412,90.55,4.57 (4.39-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,28,10.14,2.52 (2.06-2.97),248,89.86,3.69 (3.46-3.93)
oligodendrocytes 10,735.0,0.205,90.0,277,4,1.44,4.03 (3.69-4.37),273,98.56,3.89 (3.65-4.14)
connective tissue cells 21,111.0,0.379,90.0,26,4,15.38,3.28 (2.25-4.30),22,84.62,2.34 (1.57-3.11)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.222,55.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,409.0,0.138,58.0,235,12,5.11,2.77 (2.06-3.49),223,94.89,4.07 (3.81-4.33)
astrocytes microglia 23,111.0,0.317,45.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.114,19.0,127,8,6.3,2.67 (1.74-3.60),119,93.7,3.08 (2.64-3.52)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.096,37.0,345,20,5.8,3.89 (3.75-4.04),325,94.2,4.30 (4.08-4.52)
oligodendrocytes 2,1630.0,0.173,96.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
