tipo_celular,module_size,RBM12B_MM,RBM12B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.25,74.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,610.0,0.183,72.0,98,27,27.55,1.61 (1.25-1.97),71,72.45,3.79 (3.49-4.09)
astrocytes 5,1656.0,0.159,98.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,38,10.76,1.66 (1.38-1.95),315,89.24,4.25 (4.08-4.42)
GABA neurons expressing GLU receptors 22,703.0,0.189,52.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,685.0,0.153,62.0,135,17,12.59,1.45 (1.14-1.77),118,87.41,3.49 (3.18-3.81)
da like neurons 11,197.0,0.104,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.072,8.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.059,17.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76)
GABA like neurons 14,3052.0,0.19,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.057,15.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,32,11.59,1.79 (1.53-2.05),244,88.41,3.86 (3.63-4.08)
oligodendrocytes 10,2107.0,0.058,8.0,358,42,11.73,1.69 (1.38-2.00),316,88.27,4.27 (4.09-4.45)
connective tissue cells 21,85.0,0.296,46.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1401.0,0.097,61.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,104.0,0.229,59.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.324,55.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.183,98.0,104,27,25.96,1.71 (1.38-2.04),77,74.04,3.31 (3.00-3.62)
oligodendrocytes 0,2078.0,0.138,92.0,238,5,2.1,1.82 (0.92-2.73),233,97.9,3.68 (3.46-3.90)
microglia 1,1615.0,0.128,74.0,161,34,21.12,1.52 (1.25-1.80),127,78.88,3.88 (3.62-4.14)
oligodendrocytes 3,854.0,0.094,56.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.163,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
