tipo_celular,module_size,GRIN2A_MM,GRIN2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.335,99.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,380.0,0.305,99.0,39,4,10.26,2.73 (1.78-3.67),35,89.74,3.00 (2.38-3.61)
da like neurons 11,215.0,0.281,75.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,266.0,0.183,62.0,118,18,15.25,3.99 (3.58-4.40),100,84.75,4.92 (4.50-5.33)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.024,4.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,1300.0,0.206,51.0,306,96,31.37,4.14 (3.77-4.52),210,68.63,5.71 (5.39-6.03)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.133,41.0,261,21,8.05,3.62 (3.00-4.24),240,91.95,4.45 (4.19-4.71)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.194,37.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,448.0,0.143,82.0,43,2,4.65,6.09 (NA-NA),41,95.35,3.20 (2.69-3.71)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.337,99.0,40,3,7.5,4.45 (3.53-5.37),37,92.5,6.01 (5.47-6.55)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.26,99.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348.0,0.263,73.0,114,16,14.04,4.19 (3.25-5.14),98,85.96,5.29 (4.85-5.74)
