tipo_celular,module_size,BDH1_MM,BDH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.107,46.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,17,4.82,1.37 (0.92-1.82),336,95.18,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,1069.0,0.198,74.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.189,52.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12)
da like neurons 11,853.0,0.113,36.0,133,10,7.52,1.07 (0.53-1.61),123,92.48,3.47 (3.16-3.78)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.221,87.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,354.0,0.13,55.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,8,2.9,1.89 (1.43-2.34),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.299,97.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.291,34.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA
astrocytes 4,251.0,0.1,5.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
