tipo_celular,module_size,SYNPO2_MM,SYNPO2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.247,89.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,203.0,0.248,44.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.164,81.0,101,2,1.98,2.92 (2.78-3.07),99,98.02,3.06 (2.70-3.41)
da like neurons 11,87.0,0.311,56.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.355,85.0,54,17,31.48,5.59 (4.58-6.59),37,68.52,4.64 (3.91-5.37)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.157,65.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.17,81.0,29,2,6.9,NA,27,93.1,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,77.0,0.227,24.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1401.0,0.153,90.0,96,28,29.17,4.02 (3.32-4.73),68,70.83,3.46 (2.91-4.02)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.272,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.281,85.0,45,4,8.89,7.00 (NA-NA),41,91.11,5.22 (4.59-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
