tipo_celular,module_size,ATL3_MM,ATL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.139,36.0,97,5,5.15,3.52 (3.03-4.01),92,94.85,3.02 (2.61-3.44)
T cells 18,518.0,0.149,46.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,27,7.65,2.13 (1.55-2.71),326,92.35,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.083,14.0,155,2,1.29,2.86 (NA-NA),153,98.71,4.35 (3.99-4.72)
oligodendrocytes 20,271.0,0.137,32.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.128,40.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,21,7.61,2.70 (2.07-3.33),255,92.39,3.63 (3.40-3.86)
oligodendrocytes 10,483.0,0.076,28.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,139.0,0.357,77.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,64.0,0.34,93.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.354,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.122,66.0,238,8,3.36,2.92 (1.54-4.30),230,96.64,3.67 (3.44-3.89)
microglia 1,813.0,0.126,61.0,79,8,10.13,3.36 (2.76-3.95),71,89.87,3.07 (2.62-3.52)
oligodendrocytes 3,743.0,0.08,47.0,76,6,7.89,3.76 (3.68-3.85),70,92.11,3.11 (2.69-3.54)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
